,1,2
13,T9,Reference_point 228 248	response to platinum
14,T10,Drug 240 248	platinum
15,R5,Has_index Arg1:T8 Arg2:T9
16,R6,multi Arg1:T9 Arg2:T10
17,R7,Has_temporal Arg1:T7 Arg2:T8
18,T11,Measurement 251 274	ECOG performance status
19,T12,Value 278 279	0
20,T13,"Value 278 281	0,1"
21,T14,Value 287 288	.
22,*,OR T12 T13 T14
23,T15,"Scope 278 287	0,1, or 2"
24,R8,Has_scope Arg1:T11 Arg2:T15
0,T1,Observation 19 27	patients
1,A1,Optional T1
2,T2,Condition 29 44	Substance abuse
3,T3,Multiplier 50 61	daily basis
4,T4,Multiplier 62 85	during the last 3 month
5,T5,Qualifier 156 171	ICD-10/DSM-IV/V
6,R1,Has_multiplier Arg1:T2 Arg2:T3
7,R2,Has_multiplier Arg1:T2 Arg2:T4
8,T6,Condition 133 148	substance abuse
9,T7,Temporal 125 132	ongoing
10,R3,Has_temporal Arg1:T6 Arg2:T7
11,R4,Has_qualifier Arg1:T6 Arg2:T5
12,T8,Drug 188 202	antidepressant
13,T9,Temporal 203 226	during the last 30 days
14,R5,Has_temporal Arg1:T8 Arg2:T9
15,T10,Condition 228 239	Head injury
16,T11,Multiplier 245 264	more than 5 minutes
17,T12,Condition 268 283	unconsciousness
18,R6,Has_multiplier Arg1:T12 Arg2:T11
19,R7,AND Arg1:T10 Arg2:T12
20,T13,Observation 294 316	involuntarily admitted
21,T14,Observation 294 307;320 327	involuntarily treated
22,T15,Device 329 348	Components of metal
23,T16,Device 373 382	Pacemaker
24,T17,Condition 384 393	Pregnancy
25,T18,Condition 395 418	Severe physical illness
26,*,OR T17 T18 T16 T15 T13 T14 T10 T8 T2 T6
27,T19,"Scope 29 418	Substance abuse on a daily basis during the last 3 month or patients fulfilling the criteria of ongoing substance abuse due to ICD-10/DSM-IV/V, Treatment with antidepressant during the last 30 days, Head injury with more than 5 minutes of unconsciousness, Patients involuntarily admitted or treated, Components of metal implanted by operation, Pacemaker, Pregnancy, Severe physical illness"
28,R8,Has_scope Arg1:T1 Arg2:T19
29,T20,Observation 439 447	controls
30,A2,Optional T20
31,T21,Observation 449 471	First degree relatives
32,T22,Condition 477 496	psychiatric disease
33,R9,Has_context Arg1:T22 Arg2:T21
34,T23,Condition 498 513	Substance abuse
35,T24,Temporal 514 537	during the last 3 month
36,R10,Has_temporal Arg1:T23 Arg2:T24
37,T25,Value 541 549	positive
38,T26,Procedure 550 568	screening of drugs
39,T27,Qualifier 572 584	urine-sample
40,R11,Has_qualifier Arg1:T26 Arg2:T27
41,R12,Has_value Arg1:T26 Arg2:T25
42,T28,Condition 586 597	Head injury
43,T29,Multiplier 603 622	more than 5 minutes
44,T30,Condition 626 641	unconsciousness
45,R13,Has_multiplier Arg1:T30 Arg2:T29
46,R14,AND Arg1:T28 Arg2:T30
47,T31,Device 643 662	Components of metal
48,T32,Device 687 696	Pacemaker
49,T33,Condition 698 707	Pregnancy
50,T34,Condition 709 732	Severe physical illness
51,*,OR T33 T34 T32 T31 T28 T26 T23 T22
52,T35,"Scope 449 732	First degree relatives with psychiatric disease, Substance abuse during the last 3 month or positive screening of drugs in urine-sample, Head injury with more than 5 minutes of unconsciousness, Components of metal implanted by operation, Pacemaker, Pregnancy, Severe physical illness"
53,R15,Has_scope Arg1:T20 Arg2:T35
0,T1,Condition 0 21	myocardial infarction
1,T2,Temporal 22 50	within the preceding 4 weeks
2,R1,Has_temporal Arg1:T1 Arg2:T2
3,T3,Reference_point 29 50	the preceding 4 weeks
4,R2,Has_index Arg1:T2 Arg2:T3
5,T4,Qualifier 52 58	severe
6,T5,Condition 59 72	valve disease
7,T6,Qualifier 73 100	requiring valve replacement
8,T7,Procedure 83 100	valve replacement
9,R3,multi Arg1:T6 Arg2:T7
10,R4,Has_qualifier Arg1:T5 Arg2:T4
11,R5,Has_qualifier Arg1:T5 Arg2:T6
12,T8,Procedure 102 122	cardiac reoperations
0,T1,Condition 22 36	Morton neuroma
1,T2,Procedure 50 65	ultrasound scan
2,R1,AND Arg1:T1 Arg2:T2
3,T3,Mood 0 18	Clinical suspicion
4,R2,Has_mood Arg1:T1 Arg2:T3
5,T4,Temporal 84 104	more than six months
6,T5,Condition 67 75	Symptoms
7,R3,Has_temporal Arg1:T5 Arg2:T4
8,T6,Measurement 110 132;155 168	thickness of the nerve in short axis
9,T7,Value 141 154	at least 2 mm
10,T9,Value 173 186	at least 5 mm
11,T8,Measurement 110 132;187 211	thickness of the nerve in the longitudinal axis
12,R4,Has_value Arg1:T6 Arg2:T7
13,R5,Has_value Arg1:T8 Arg2:T9
0,T1,Non-query-able 0 7	Refusal
1,T2,Condition 9 25	Contraindication
2,T3,Procedure 29 38	neuraxial
3,R1,AND Arg1:T2 Arg2:T3
4,T4,Condition 40 52	coagulopathy
5,T5,Drug 54 67	anticoagulant
6,T6,Condition 73 88	local infection
7,T7,Condition 90 96	sepsis
8,*,OR T6 T7 T5 T4
9,T8,Condition 103 123	Rupture of membranes
10,T9,"Scope 41 96	oagulopathy, anticoagulant use, local infection, sepsis"
11,T10,Scope 9 38	Contraindication to neuraxial
12,R2,Has_scope Arg1:T10 Arg2:T9
13,*,OR T10 T8
14,T11,Non-query-able 126 307	Drop-out: Patients may choose to drop-out of the study at any time. The physicians involved in this study may choose to end a patient's involvement in the study at their discretion.
0,T1,Observation 8 36	cooperate with the treatment
1,T2,Negation 4 7	not
2,R1,Has_negation Arg1:T1 Arg2:T2
3,T3,Negation 42 45	not
4,T4,Observation 57 81	child's parental consent
5,R2,Has_negation Arg1:T4 Arg2:T3
6,T5,Informed_consent 38 81	Can not obtain the child's parental consent
0,T1,Drug 32 47	corticosteroids
1,T2,Drug 51 68	local anesthetics
2,T3,Condition 0 16	Contraindication
3,*,OR T1 T2
4,T4,Scope 32 68	corticosteroids or local anesthetics
5,R1,Has_scope Arg1:T3 Arg2:T4
6,T5,Condition 82 106	inflammatory arthropathy
7,T6,Condition 110 120;82 94	neuropathy inflammatory
8,*,OR T6 T5
9,T7,Condition 122 134	Skin lesions
10,T8,Condition 148 165	diabetes mellitus
11,T9,Procedure 183 199	previous surgery
12,T10,Condition 167 179	Infiltration
13,*,OR T10 T9
14,T11,Post-eligibility 213 247	Refusal to participate in the stud
0,T1,Condition 0 17	generally healthy
1,T2,Observation 18 34	grade 1-2 school
2,T3,Person 35 43	children
3,T4,Informed_consent 45 74	with written parental consent
4,T5,Multiplier 81 91	at least 1
5,T6,Qualifier 92 97	sound
6,T7,Qualifier 102 115	fully erupted
7,T8,Condition 116 137	permanent first molar
8,R1,Has_qualifier Arg1:T8 Arg2:T7
9,R2,Has_qualifier Arg1:T8 Arg2:T6
10,R3,Has_multiplier Arg1:T8 Arg2:T5
0,T1,Condition 0 7	Healthy
1,T2,Person 17 20	age
2,T3,Value 21 33	18 and older
3,R1,Has_value Arg1:T2 Arg2:T3
4,T4,Observation 35 54	Breech presentation
5,T5,Condition 56 75	Singleton gestation
6,T6,Procedure 91 94	ECV
7,T7,Procedure 104 107	CSE
8,T8,Mood 95 103	desiring
9,R2,Has_mood Arg1:T7 Arg2:T8
10,R3,AND Arg1:T6 Arg2:T7
11,T9,Mood 77 90	scheduled for
12,R4,Has_mood Arg1:T6 Arg2:T9
0,T1,Condition 0 17	colorectal cancer
1,T2,Qualifier 18 52	above to 12 cm from the anal verge
2,R1,Has_qualifier Arg1:T1 Arg2:T2
3,T3,Qualifier 54 66	unresectable
4,T4,Qualifier 67 78	synchronous
5,T5,Condition 79 89	metastases
6,R2,Has_qualifier Arg1:T5 Arg2:T4
7,R3,Has_qualifier Arg1:T5 Arg2:T3
8,T6,Procedure 116 128	chemotherapy
9,T7,Condition 94 111	contraindications
10,T8,Negation 91 93	no
11,R4,Has_negation Arg1:T7 Arg2:T8
12,R5,AND Arg1:T7 Arg2:T6
13,T9,Condition 141 166	peritoneal carcinomatosis
14,T10,Negation 130 137	absence
15,T11,Condition 168 190;198 208	central nervous system metastasis
16,T12,Condition 193 208	bone metastasis
17,*,OR T11 T12 T9
18,T13,"Scope 141 208	peritoneal carcinomatosis, central nervous system o bone metastasis"
19,R6,Has_negation Arg1:T13 Arg2:T10
20,T14,Measurement 230 234	ECOG
21,T15,Value 235 238	= 2
22,T16,Measurement 211 229	performance status
23,*,OR T14 T16
24,T17,Measurement 240 274	Eastern Cooperative Oncology Group
25,R7,Subsumes Arg1:T14 Arg2:T17
26,T18,Scope 211 234;240 274	performance status ECOG Eastern Cooperative Oncology Group
27,R8,Has_value Arg1:T14 Arg2:T15
28,T19,Qualifier 277 289	uncontrolled
29,T20,Temporal 290 301	concomitant
30,T21,Condition 302 356	medical conditions that may compromise to chemotherapy
31,R9,Has_temporal Arg1:T21 Arg2:T20
32,R10,Has_qualifier Arg1:T21 Arg2:T19
33,T22,Qualifier 370 381	symptomatic
34,T23,Condition 382 397	cardiac disease
35,T24,Qualifier 358 369	significant
36,R11,Has_qualifier Arg1:T23 Arg2:T24
37,R12,Has_qualifier Arg1:T23 Arg2:T22
38,T25,Condition 403 412	pregnancy
39,T26,Observation 416 429	breastfeeding
40,*,OR T26 T25
41,T27,Negation 399 402	not
42,T28,Scope 403 429	pregnancy or breastfeeding
43,R13,Has_negation Arg1:T28 Arg2:T27
0,T1,Condition 9 23	rectal tumours
1,T2,Qualifier 24 50	below 12cm from anal verge
2,R1,Has_qualifier Arg1:T1 Arg2:T2
3,T3,Condition 55 79	locally advanced tumours
4,T4,Condition 80 102	invading blood vessels
5,T5,Condition 104 110;80 88	nerves invading
6,T6,Condition 114 118;80 88	bone invading
7,*,OR T5 T6 T4
8,T7,"Scope 80 118	invading blood vessels, nerves or bone"
9,R2,Has_scope Arg1:T3 Arg2:T7
10,*,OR T1 T3
11,T8,Condition 121 145	Multiple bone metastasis
12,T9,Condition 149 182	central nervous system metastasis
13,*,OR T8 T9
14,T10,Condition 190 208	neoplastic disease
15,T11,Qualifier 184 189	Other
16,R3,Has_qualifier Arg1:T10 Arg2:T11
17,T12,Temporal 209 232	in the 5 previous years
18,T13,Condition 253 278	basal cell skin carcinoma
19,T14,Condition 241 249;259 278	squamous cell skin carcinoma
20,T15,"Condition 282 310	cervical ""in situ"" carcinoma"
21,*,OR T13 T14 T15
22,R4,Has_temporal Arg1:T10 Arg2:T12
23,T16,Negation 234 240	except
24,T17,"Scope 241 310	squamous or basal cell skin carcinoma or cervical ""in situ"" carcinoma"
25,R5,Has_negation Arg1:T17 Arg2:T16
26,R6,Has_scope Arg1:T10 Arg2:T17
27,T18,Condition 324 337	heart disease
28,T19,Qualifier 312 323	Significant
29,R7,Has_qualifier Arg1:T18 Arg2:T19
30,T20,Condition 339 371	chronic congestive heart failure
31,T21,Condition 373 401	symptomatic coronary disease
32,*,OR T20 T21
33,T22,"Scope 339 401	chronic congestive heart failure, symptomatic coronary disease"
34,T23,Scope 312 337	Significant heart disease
35,R8,Subsumes Arg1:T23 Arg2:T22
36,T24,Condition 406 427	myocardial infarction
37,T25,Temporal 428 452	in the previous 6 months
38,R9,Has_temporal Arg1:T24 Arg2:T25
39,*,OR T23 T24
40,T26,Condition 454 475	Peripheral neuropathy
41,T27,Non-query-able 477 518	Patients who do not give informed consent
0,T1,Temporal 0 12	simultaneous
1,T2,Qualifier 13 23	both sided
2,T3,Procedure 55 71	molar extraction
3,T4,Qualifier 38 54	only upper third
4,*,OR T2 T4
5,T5,Scope 13 54	both sided extraction or only upper third
6,R1,Has_scope Arg1:T3 Arg2:T5
7,R2,Has_temporal Arg1:T3 Arg2:T1
8,T6,Procedure 73 91	general anesthesia
9,T7,Condition 111 138	abnormal coagulation status
10,T8,Qualifier 102 110	presumed
11,T9,Qualifier 93 98	known
12,*,OR T9 T8
13,T10,Scope 93 110	known or presumed
14,R3,Has_scope Arg1:T7 Arg2:T10
15,T11,Qualifier 140 145	known
16,T12,Qualifier 149 157	presumed
17,*,OR T11 T12
18,T13,Scope 140 157	known or presumed
19,T14,Condition 167 184	renal dysfunction
20,T15,Condition 158 163;173 184	liver dysfunction
21,*,OR T14 T15
22,T16,Scope 158 184	liver or renal dysfunction
23,R4,Has_scope Arg1:T16 Arg2:T13
24,T17,Condition 186 202	contraindication
25,T18,Drug 211 221	metamizole
26,R5,AND Arg1:T17 Arg2:T18
27,T19,Qualifier 222 227	known
28,T20,Qualifier 231 240	suspected
29,*,OR T19 T20
30,T21,Scope 222 240	known or suspected
31,T22,Qualifier 242 247	known
32,T23,Qualifier 251 260	suspected
33,T24,Condition 261 268	allergy
34,T25,Drug 277 285	novalgin
35,T26,Drug 295 306	pyrazolones
36,T27,Qualifier 289 294	other
37,R6,Has_qualifier Arg1:T26 Arg2:T27
38,T28,Condition 308 329	anaphylactic reaction
39,T29,Drug 338 344	NSAIDS
40,T30,Measurement 356 376	bone marrow function
41,T31,Value 346 355	decreased
42,T32,Measurement 380 392	hematopoesis
43,*,OR T32 T30
44,T33,Scope 356 392	bone marrow function or hematopoesis
45,R7,Has_value Arg1:T33 Arg2:T31
46,T34,Condition 394 411	hepatic porphyria
47,T35,Condition 413 457	glucose-6-phosphate dehydrogenase deficiency
48,T36,Condition 463 472	pregnancy
49,T37,Observation 473 486	breastfeeding
50,*,OR T36 T37 T35 T34 T33
51,R8,AND Arg1:T28 Arg2:T29
52,*,OR T25 T26
53,T38,Scope 277 306	novalgin or other pyrazolones
54,R9,Has_scope Arg1:T24 Arg2:T38
55,*,OR T23 T22
56,T39,Scope 242 260	known or suspected
57,R10,Has_scope Arg1:T24 Arg2:T39
58,*,OR T24 T28
59,T40,"Scope 242 486	known or suspected allergy against novalgin or other pyrazolones, anaphylactic reaction against NSAIDS, decreased bone marrow function or hematopoesis, hepatic porphyria, glucose-6-phosphate dehydrogenase deficiency, and pregnancy/breastfeeding"
60,R11,Has_scope Arg1:T17 Arg2:T21
61,T41,Scope 186 240	contraindication against metamizole known or suspected
62,R12,Subsumes Arg1:T41 Arg2:T40
63,T42,Condition 489 505	contraindication
64,T43,Drug 514 523	ibuprofen
65,R13,AND Arg1:T42 Arg2:T43
66,T44,Qualifier 525 530	known
67,T45,Qualifier 534 543	suspected
68,*,OR T44 T45
69,T46,Condition 544 551	allergy
70,T47,Drug 560 569	ibuprofen
71,T48,Scope 525 543	known or suspected
72,R14,Has_scope Arg1:T46 Arg2:T48
73,R15,AND Arg1:T46 Arg2:T47
74,T49,Condition 571 592	anaphylactic reaction
75,T50,Drug 601 645	Nonsteroidal anti-inflammatory drugs (NSAID)
76,R16,AND Arg1:T49 Arg2:T50
77,T51,Temporal 647 653	active
78,T52,Qualifier 657 666	recurrent
79,T53,Qualifier 667 674	stomach
80,T54,Condition 697 705	bleeding
81,T55,Qualifier 678 686	duodenal
82,T56,Condition 687 693	ulcera
83,*,OR T56 T54
84,*,OR T55 T53
85,T57,Scope 687 705	ulcera or bleeding
86,T58,Scope 667 686	stomach or duodenal
87,*,OR T52 T51
88,T59,Scope 647 666	active or recurrent
89,R17,Has_scope Arg1:T57 Arg2:T58
90,R18,Has_scope Arg1:T57 Arg2:T59
91,T60,Condition 707 719;729 742	severe liver insufficiency
92,T61,Condition 707 713;723 742	severe renal insufficiency
93,T62,Condition 744 771	inflammatory bowel syndrome
94,T63,Condition 777 786	pregnancy
95,T64,Observation 787 800	breastfeeding
96,*,OR T63 T64 T61 T60 T49 T46 T57 T62
97,T65,"Scope 525 800	known or suspected allergy against ibuprofen, anaphylactic reaction against Nonsteroidal anti-inflammatory drugs (NSAID), active or recurrent stomach or duodenal ulcera or bleeding, severe liver or renal insufficiency, inflammatory bowel syndrome, and pregnancy/breastfeeding"
98,T66,Scope 489 523	contraindication against ibuprofen
99,R19,Subsumes Arg1:T66 Arg2:T65
100,T67,Condition 803 812	pregnancy
101,T68,Observation 817 831	breast feeding
102,*,OR T67 T68
0,T1,Person 0 6	Female
1,T2,Person 16 20	aged
2,T3,Value 21 33	=/> 18 years
3,T4,Condition 41 57	reproductive age
4,R1,Has_value Arg1:T2 Arg2:T3
5,T5,"Non-query-able 60 201	Capacity to give consent for study participation, after being adequately informed of the aims, benefits, risks, time and motion of the study."
0,T1,Person 9 13	aged
1,T2,Value 14 35	greater than 18 years
2,T3,Person 39 42	age
3,R1,Has_value Arg1:T3 Arg2:T2
4,R2,Has_value Arg1:T1 Arg2:T2
5,*,OR T1 T3
6,T4,Non-query-able 44 115	Ability to understand and willingness to comply with the study protocol
7,T5,Post-eligibility 44 115	Ability to understand and willingness to comply with the study protocol
8,T6,Post-eligibility 117 141	Written informed consent
9,T7,Non-query-able 117 141	Written informed consent
10,T8,Measurement 164 226	Rotterdam PCOS workshop criteria for polycystic ovary syndrome
11,T9,Value 152 159	meeting
12,R3,Has_value Arg1:T8 Arg2:T9
13,T10,Condition 239 253	oligomenorrhea
14,T11,Condition 257 267	amenorrhea
15,*,OR T11 T10
16,T12,Multiplier 272 284	at least one
17,T13,Condition 349 365	hyperandrogenism
18,T14,Condition 391 401;412 419	polycystic ovaries
19,T15,Procedure 369 379	ultrasound
20,R4,AND Arg1:T15 Arg2:T14
21,*,OR T13 T15
0,T1,Condition 0 10	Menopausal
1,T2,Person 11 16	women
2,T3,Condition 22 35	breast cancer
3,T4,Procedure 36 43	treated
4,T5,Drug 54 63	tamoxifen
5,T6,Drug 67 86	aromatase inhibitor
6,*,OR T5 T6
7,T7,Scope 54 86	tamoxifen or aromatase inhibitor
8,R1,Has_scope Arg1:T4 Arg2:T7
9,T8,Condition 94 105	hot flashes
10,T9,Observation 118 144	without active sexual life
11,T10,Observation 110 114;126 144	with active sexual life
12,*,OR T9 T10
0,T1,Condition 0 23	abnormal renal function
1,T2,Temporal 25 34	currently
2,T3,Condition 35 43	pregnant
3,T4,Mood 48 64	trying to become
4,T5,Condition 65 73	pregnant
5,R1,Has_mood Arg1:T5 Arg2:T4
6,R2,Has_temporal Arg1:T3 Arg2:T2
7,*,OR T3 T5
8,T6,Drug 96 108	beta-blocker
9,T7,Procedure 81 88	treated
10,R3,AND Arg1:T7 Arg2:T6
11,T8,Drug 117 130	illicit drugs
0,T1,Mood 0 7	planned
1,T2,Qualifier 8 18	sequential
2,T3,Qualifier 19 29	both-sided
3,T4,Procedure 30 58	lower third molar extraction
4,T5,Qualifier 60 71	split-mouth
5,R1,Has_qualifier Arg1:T4 Arg2:T3
6,R2,Has_qualifier Arg1:T4 Arg2:T2
7,R3,Has_qualifier Arg1:T4 Arg2:T5
8,T6,Procedure 78 87	osteotomy
9,R4,AND Arg1:T4 Arg2:T6
10,T7,Procedure 105 127	upper molar extraction
11,T8,Procedure 131 147	local anesthesia
12,R5,AND Arg1:T7 Arg2:T8
13,T9,Scope 105 147	upper molar extraction in local anesthesia
14,A1,Optional T9
15,R6,Has_scope Arg1:T4 Arg2:T9
16,R7,Has_mood Arg1:T4 Arg2:T1
17,T10,Observation 150 178	able to understand the study
18,T11,Non-representable 179 196	and the NRS scale
0,T1,Non-query-able 0 40	Participation in another clinical trial.
1,T2,Mood 51 60	suspected
2,T3,Mood 42 47	Known
3,*,OR T2 T3
4,T4,Condition 77 87	malignancy
5,T5,Condition 91 106	chronic illness
6,*,OR T5 T4
7,T6,Scope 77 106	malignancy or chronic illness
8,T7,Observation 65 75	history of
9,T8,Scope 42 76	Known or suspected (or history of)
10,R1,Has_scope Arg1:T6 Arg2:T8
11,T9,Condition 128 142	mental disease
12,T10,Condition 117 124;135 142	organic disease
13,*,OR T9 T10
14,T11,Qualifier 143 170	diagnosed by a psychiatrist
15,T12,Scope 117 142	organic or mental disease
16,R2,Has_qualifier Arg1:T12 Arg2:T11
17,T13,Condition 178 194	major depression
18,T14,Procedure 205 212	treated
19,T15,Temporal 195 204	currently
20,R3,Has_temporal Arg1:T14 Arg2:T15
21,T16,Drug 218 243	antidepressant medication
22,R4,AND Arg1:T14 Arg2:T16
23,R5,AND Arg1:T13 Arg2:T14
24,T17,Scope 117 170	organic or mental disease diagnosed by a psychiatrist
25,R6,Subsumes Arg1:T17 Arg2:T13
26,T18,Mood 245 254	suspected
27,T19,Observation 275 290	medical history
28,T20,Procedure 298 318	clinical examination
29,*,OR T20 T19
30,T21,Scope 275 318	medical history and/or clinical examination
31,R7,Has_scope Arg1:T18 Arg2:T21
32,R8,Has_mood Arg1:T13 Arg2:T18
33,T22,Post-eligibility 321 376	Conditions that may affect the compliance to the study.
34,T23,Post-eligibility 378 518	Contraindications to therapy with the study drug or hypersensitivity to the study drug (active ingredient or excipients of the formulation).
0,T1,Condition 8 17	pregnancy
1,T2,Condition 21 30	lactation
2,*,OR T2 T1
3,T3,Condition 32 45	Liver disease
4,T4,Condition 49 71	elevated liver enzymes
5,T5,Condition 98 115	diabetes mellitus
6,T6,Value 117 125	Abnormal
7,T7,Measurement 58 71	liver enzymes
8,T8,Value 49 57	elevated
9,R1,Has_value Arg1:T7 Arg2:T8
10,T9,Measurement 126 146	serum glucose levels
11,R2,Has_value Arg1:T9 Arg2:T6
12,T10,Condition 117 146	Abnormal serum glucose levels
13,T11,Temporal 154 164	at fasting
14,T12,Temporal 168 210	after the 2-hr oral glucose tolerance test
15,T13,Reference_point 174 210	the 2-hr oral glucose tolerance test
16,T14,Procedure 178 210	2-hr oral glucose tolerance test
17,*,OR T11 T12
18,T15,Scope 154 210	at fasting or after the 2-hr oral glucose tolerance test
19,R3,Has_scope Arg1:T10 Arg2:T15
20,T16,Reference_point 157 164	fasting
21,T17,Measurement 219 313	criteria for the diagnosis of diabetes mellitus according to the American Diabetes Association
22,T18,Value 211 218	meeting
23,R4,Has_value Arg1:T17 Arg2:T18
24,T19,Qualifier 211 313	meeting criteria for the diagnosis of diabetes mellitus according to the American Diabetes Association
25,R5,Has_qualifier Arg1:T10 Arg2:T19
26,T20,Condition 249 266	diabetes mellitus
27,T21,Procedure 316 345	Insulin sensitizing treatment
28,T22,Temporal 346 370;385 408	within 3 months prior to eight week study period
29,T23,Temporal 374 408	during the eight week study period
30,*,OR T23 T22
31,T24,Scope 346 408	within 3 months prior to or during the eight week study period
32,R6,Has_scope Arg1:T21 Arg2:T24
33,T25,Drug 440 448	estrogen
34,T26,Drug 452 464	progesterone
35,T27,Temporal 465 482;493 509	3 months prior to the study period
36,T28,Temporal 486 509	during the study period
37,*,OR T28 T27
38,T29,Drug 533 560	medroxyprogesterone acetate
39,T30,Condition 565 584	withdrawal bleeding
40,T31,Negation 520 529	exception
41,R7,AND Arg1:T29 Arg2:T30
42,R8,Has_negation Arg1:T29 Arg2:T31
43,T32,Drug 599 622	inhaled corticosteroids
44,T33,Drug 587 595;607 622	Systemic corticosteroids
45,T34,Qualifier 587 595	Systemic
46,T35,Qualifier 599 606	inhaled
47,R9,Has_qualifier Arg1:T33 Arg2:T34
48,R10,Has_qualifier Arg1:T32 Arg2:T35
49,T36,Condition 631 666	hypersensitive reaction to cinnamon
50,T37,Observation 658 666	cinnamon
51,T38,Condition 683 700	seizure disorders
52,T39,Condition 708 730	cardiovascular disease
53,T40,Condition 735 758	cerebrovascular disease
54,*,OR T40 T39 T38
55,T41,Measurement 761 782	Body mass index (BMI)
56,T42,Value 782 793	range 20-50
57,R11,Has_value Arg1:T41 Arg2:T42
58,T43,Parsing_Error 794 844	(excluding all women with BMI under 20 or over 50)
0,T1,Negation 10 13	not
1,T2,Condition 19 32	breast cancer
2,R1,Has_negation Arg1:T2 Arg2:T1
3,T3,Drug 45 54	tamoxifen
4,T4,Drug 58 77	aromatase inhibitor
5,T5,Negation 37 40	not
6,*,OR T3 T4
7,T6,Scope 45 77	tamoxifen or aromatase inhibitor
8,R2,Has_negation Arg1:T6 Arg2:T5
9,T7,Negation 79 82	not
10,T8,Condition 86 95	menopause
11,T9,Negation 100 103	not
12,T10,Condition 109 120	hot flashes
13,R3,Has_negation Arg1:T10 Arg2:T9
14,R4,Has_negation Arg1:T8 Arg2:T7
15,*,OR T8 T10
0,T1,Measurement 0 23	systolic blood pressure
1,T2,Value 24 44	between 140-160 mmHG
2,R1,Has_value Arg1:T1 Arg2:T2
3,T3,Value 46 65	between 18-80 years
4,T4,Person 66 69	old
5,R2,Has_value Arg1:T4 Arg2:T3
0,T1,Condition 4 21	medical condition
1,T2,Condition 33 47	contraindicate
2,T3,Drug 55 75	stimulant medication
3,R1,AND Arg1:T2 Arg2:T3
4,R2,AND Arg1:T1 Arg2:T2
5,T4,Temporal 81 86	prior
6,T5,Condition 87 103	adverse response
7,T6,Drug 107 134	lisdexamfetamine dimesylate
8,T7,Qualifier 138 143	other
9,T8,Drug 144 164	stimulant medication
10,R3,Has_qualifier Arg1:T8 Arg2:T7
11,*,OR T6 T8
12,T9,Scope 107 164	lisdexamfetamine dimesylate or other stimulant medication
13,R4,Has_scope Arg1:T5 Arg2:T9
14,R5,Has_temporal Arg1:T5 Arg2:T4
15,T10,Temporal 173 183	concurrent
16,T11,Drug 184 221	non-stimulant psychoactive medication
17,R6,Has_temporal Arg1:T11 Arg2:T10
18,T12,Condition 236 249	schizophrenia
19,T13,Condition 265 281	thought disorder
20,T14,Mood 282 290	symptoms
21,R7,Has_mood Arg1:T13 Arg2:T14
22,*,OR T12 T13
23,T15,Condition 292 316	autism spectrum disorder
0,T1,"Not_a_criteria 0 134	100 orphans/vulnerable youth aged 15 to 25 will be recruited through their participation at the day care center, on a voluntary basis."
0,T1,Non-query-able 0 50	Fluent in reading and writing in English language.
1,T2,Person 66 69	age
2,T3,Value 52 62	= 21 years
3,T4,Temporal 70 98	at the time of participation
4,T5,Reference_point 85 98	participation
5,R1,Has_index Arg1:T4 Arg2:T5
6,R2,Has_value Arg1:T2 Arg2:T3
7,R3,Has_temporal Arg1:T2 Arg2:T4
0,T1,Condition 11 24	renal failure
1,T2,Condition 37 44	allergy
2,T3,Drug 48 54	iodine
3,T4,Drug 58 67	shellfish
4,*,OR T3 T4
5,T5,Scope 48 67	iodine or shellfish
6,R1,Has_scope Arg1:T2 Arg2:T5
7,T6,Procedure 78 98	spine fusion surgery
8,T7,Temporal 69 77	previous
9,R2,Has_temporal Arg1:T6 Arg2:T7
10,T8,Qualifier 111 119	elective
11,T9,Qualifier 120 135	posterior spine
12,T10,Procedure 136 172	single-level instrumentation surgery
13,R3,Has_qualifier Arg1:T10 Arg2:T9
14,R4,Has_qualifier Arg1:T10 Arg2:T8
15,T11,Qualifier 185 199	anterior spine
16,T12,Procedure 200 235	multi-level instrumentation surgery
17,R5,Has_qualifier Arg1:T12 Arg2:T11
18,T13,Temporal 100 110	undergoing
19,T14,Temporal 174 184	undergoing
20,R6,Has_temporal Arg1:T10 Arg2:T13
21,R7,Has_temporal Arg1:T12 Arg2:T14
22,T15,Drug 245 259	antibiotic use
23,T16,Temporal 237 244	current
24,R8,Has_temporal Arg1:T15 Arg2:T16
0,T1,"Informed_consent 0 119	Subject or legal representative has voluntarily signed the informed consent approved by the Institutional Review Board,"
1,T2,Procedure 121 141	Hip fracture surgery
2,T3,Procedure 158 176	general anesthesia
3,T4,Value 189 206	65 years or older
4,T5,Temporal 207 228	on the day of surgery
5,T6,Reference_point 210 228	the day of surgery
6,T7,Procedure 221 228	surgery
7,R1,multi Arg1:T6 Arg2:T7
8,R2,Has_index Arg1:T5 Arg2:T6
9,T8,Person 201 206	older
10,R3,Has_value Arg1:T8 Arg2:T4
11,R4,Has_temporal Arg1:T4 Arg2:T5
0,T1,Non-query-able 0 2	NA
0,T1,Person 0 3	Age
1,T2,Value 4 16	less than 15
2,T3,Value 20 35	greater than 25
3,*,OR T2 T3
4,T4,Scope 4 35	less than 15 or greater than 25
5,R1,Has_scope Arg1:T1 Arg2:T4
6,T5,Observation 44 80	participating in the day care center
7,T6,Negation 40 43	not
8,R2,Has_negation Arg1:T5 Arg2:T6
0,T1,Condition 13 17	ADHD
